rpm,speed,temperature,throttle,battery
3.007745849609375000e+03,8.398337554931640625e+01,9.008862304687500000e+01,5.397323131561279297e+00,1.434135627746582031e+01
9.281000366210937500e+02,2.615060234069824219e+01,8.906886291503906250e+01,3.281435012817382812e+01,1.221621036529541016e+01
2.910152343750000000e+03,8.236823272705078125e+01,9.268647766113281250e+01,1.077409458160400391e+01,1.429002952575683594e+01
1.536684814453125000e+03,4.254461669921875000e+01,9.054852294921875000e+01,3.709222793579101562e+01,1.407447433471679688e+01
1.360127685546875000e+03,3.793458557128906250e+01,9.401470184326171875e+01,7.838935852050781250e+01,1.286119461059570312e+01
3.803639648437500000e+03,1.060378494262695312e+02,9.166085052490234375e+01,1.525459098815917969e+01,1.378438282012939453e+01
2.369945312500000000e+03,6.627361297607421875e+01,9.036567687988281250e+01,4.345631027221679688e+01,1.232938671112060547e+01
3.990142578125000000e+03,1.111814041137695312e+02,8.951685333251953125e+01,8.507338714599609375e+01,1.205951213836669922e+01
3.968466064453125000e+03,1.108061294555664062e+02,8.774238586425781250e+01,8.135265350341796875e+01,1.240099239349365234e+01
3.285586914062500000e+03,2.830237150192260742e-01,8.658721160888671875e+01,4.419326019287109375e+01,1.229819202423095703e+01
1.467825195312500000e+03,4.121532821655273438e+01,9.390763854980468750e+01,4.068571472167968750e+01,1.275448417663574219e+01
1.773020141601562500e+03,4.984159469604492188e+01,9.263510131835937500e+01,4.767329025268554688e+01,1.238458442687988281e+01
9.345518798828125000e+02,2.643634414672851562e+01,9.216751861572265625e+01,6.351681518554687500e+01,1.370040607452392578e+01
3.213287597656250000e+03,8.955693817138671875e+01,8.847654724121093750e+01,6.123368263244628906e+00,1.366431713104248047e+01
3.766177246093750000e+03,1.058399047851562500e+02,8.610169982910156250e+01,6.919570922851562500e+01,1.361990833282470703e+01
3.224172607421875000e+03,8.995047760009765625e+01,8.860554504394531250e+01,7.089315032958984375e+01,1.280831241607666016e+01
3.326562255859375000e+03,9.330310821533203125e+01,9.365959167480468750e+01,6.497276306152343750e+01,1.099586009979248047e+01
2.417272460937500000e+03,6.764443969726562500e+01,8.771439361572265625e+01,7.751913452148437500e+01,1.365553188323974609e+01
2.328930908203125000e+03,6.577732849121093750e+01,8.676402282714843750e+01,7.124966430664062500e+01,1.270253181457519531e+01
3.721014892578125000e+03,1.038726043701171875e+02,9.030332183837890625e+01,6.541302680969238281e+00,1.430976200103759766e+01
2.069964111328125000e+03,5.789482879638671875e+01,1.289668579101562500e+02,8.629795837402343750e+01,1.248820972442626953e+01
2.811395751953125000e+03,7.863647460937500000e+01,9.436625671386718750e+01,4.093911361694335938e+01,1.220623588562011719e+01
1.669009155273437500e+03,4.643580627441406250e+01,8.828122711181640625e+01,4.798444747924804688e+01,1.343445205688476562e+01
